,GBCI
% Below High,0.0387
% Held by Institutions,0.7134
52-Wk Range,['44.43 - 60.69']
Annual Dividend $,1.32
Annual Dividend %,0.0226
Ask,63.0
Ask Size,10100.0
B/A Ratio,0.009900990099009901
B/A Size,100x10100
Beta,0.8
Bid,50.88
Bid Size,100.0
Closing Price,58.34
Day Change $,0.9
Day Change %,0.015700000000000002
Day High,58.46
Day Low,57.65
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.47
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.307
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.58
Prev Close,57.44
Shares Outstanding,110.8M
Short Interest,0.0233
Today's Open,57.78
Volume,90319.0
Volume 10-day Avg,291791.0
Volume Past Day,(Light)
