,SPOT
% Above Low,0.1116
% Held by Institutions,0.5525
52-Wk Range,['69.29 - 251.45']
Annual Dividend $,
Annual Dividend %,
Ask,77.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,76.98
Bid Size,100.0
Day Change $,-1.71
Day Change %,-0.0217
Day High,79.38
Day Low,76.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.659
Last (size),100.0
Last (time),3:03p ET 11/28/22
Market Cap,14.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,78.73
Price,77.02
Shares Outstanding,193.1M
Short Interest,0.0248
Today's Open,77.75
Volume Past Day,(Light)
