,SPOT
Price/Earnings (TTM),
Price/Sales (TTM),1.30021
Price/Book (MRQ),6.51735
Price/Cash Flow (TTM),
5yr Low,69.29
5yr High,387.44
5yr Avg Return,0.03430000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.2677805
Dividend Growth 5yr,
Short Int Current Month,3481202.0
Short Int Prev Month,3779696.0
Short Int Pct of Float,0.0247553
Days to Cover,1.68133
Float,140.6416
Shares Outstanding,193.1303
Institutions Holding Shares,699.0
% Held by Institutions,0.5524560000000001
FCF Growth 5yr,0.31028527933968647
