,CRMT
Price/Earnings (TTM),7.56176
Price/Sales (TTM),0.33706
Price/Book (MRQ),
Price/Cash Flow (TTM),6.7267
5yr Low,35.18
5yr High,177.45
5yr Avg Return,0.1197166666666667
EPS Growth 5yr,0.406168
Revenue Growth 5yr,0.1558141
Dividend Growth 5yr,
Short Int Current Month,635485.0
Short Int Prev Month,629297.0
Short Int Pct of Float,0.11031650000000001
Days to Cover,10.37899
Float,5.76056
Shares Outstanding,6.36884
Institutions Holding Shares,186.0
% Held by Institutions,0.821113
FCF Growth 5yr,0.09294908630077951
