,CRMT
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4533898305084746
Growth 1yr High Est,-0.20277777777777772
Growth 1yr Consensus Est,-0.32808380414312616
Growth 2yr Low Est,-0.010932641352428496
Growth 2yr High Est,0.2209107626790553
Growth 2yr Consensus Est,0.1049890606633134
Growth 5yr Low Est,-0.005466320676214248
Growth 5yr High Est,0.11045538133952765
Growth 5yr Consensus Est,0.0524945303316567
Growth 5yr Actual/Est,0.1965330565019185
Growth 3yr Historic,0.23434633261073226
