,CRMT
% Above Low,0.3518
% Held by Institutions,0.8210999999999999
52-Wk Range,['52.24 - 127.05']
Annual Dividend $,
Annual Dividend %,
Ask,79.94
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,53.5
Bid Size,200.0
Closing Price,70.62
Day Change $,-1.65
Day Change %,-0.022799999999999997
Day High,72.61
Day Low,69.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.34
Ex-dividend Date,No dividend
Historical Volatility,0.648
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,450.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.56
Prev Close,72.27
Shares Outstanding,6.4M
Short Interest,0.1103
Today's Open,72.27
Volume,38865.0
Volume 10-day Avg,124818.0
Volume Past Day,(Light)
