,IDA
% Below High,0.084
% Held by Institutions,0.7962
52-Wk Range,['93.53 - 118.92']
Annual Dividend $,3.16
Annual Dividend %,0.028999999999999998
Ask,118.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,96.5
Bid Size,100.0
Closing Price,108.93
Day Change $,1.14
Day Change %,0.0106
Day High,108.93
Day Low,107.82
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.22899999999999998
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.12
Prev Close,107.79
Shares Outstanding,50.6M
Short Interest,0.0166
Today's Open,107.85
Volume,97958.0
Volume 10-day Avg,185560.0
Volume Past Day,(Light)
