,IDA
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.01030927835051565
Growth 1yr High Est,0.04489795918367334
Growth 1yr Consensus Est,0.027603618767094495
Growth 2yr Low Est,0.028624026930359814
Growth 2yr High Est,0.04490991709183667
Growth 2yr Consensus Est,0.03676697201109824
Growth 5yr Low Est,0.03807996546203213
Growth 5yr High Est,0.04713177381715189
Growth 5yr Consensus Est,0.04260586963959201
Growth 5yr Actual/Est,0.0320873488817382
Growth 3yr Historic,0.012867179442113796
