,IDA
Price/Earnings (TTM),22.1157
Price/Sales (TTM),3.53958
Price/Book (MRQ),1.98241
Price/Cash Flow (TTM),13.01938
5yr Low,69.05
5yr High,118.92
5yr Avg Return,0.02323333333333334
EPS Growth 5yr,0.0425598
Revenue Growth 5yr,0.0293031
Dividend Growth 5yr,0.0672492
Short Int Current Month,832146.0
Short Int Prev Month,977373.0
Short Int Pct of Float,0.0165701
Days to Cover,3.5665
Float,50.23903
Shares Outstanding,50.56189
Institutions Holding Shares,498.0
% Held by Institutions,0.79617
FCF Growth 5yr,0.600140460178976
