,PRAA
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.30051813471502586
Growth 1yr High Est,-0.20906801007556675
Growth 1yr Consensus Est,-0.2547930723952963
Growth 2yr Low Est,-0.3169257340241796
Growth 2yr High Est,-0.1140881451651719
Growth 2yr Consensus Est,-0.21550693959467576
Growth 5yr Low Est,-0.13872861763546782
Growth 5yr High Est,-0.008381995766680231
Growth 5yr Consensus Est,-0.07355530670107402
Growth 5yr Actual/Est,0.11890348169713263
Growth 3yr Historic,0.24103288213717666
