,PRAA
% Above Low,0.1342
% Held by Institutions,1.0407
52-Wk Range,['29.69 - 51.00']
Annual Dividend $,
Annual Dividend %,
Ask,33.73
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,33.59
Bid Size,200.0
Day Change $,-0.25
Day Change %,-0.0074
Day High,34.18
Day Low,33.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.3
Ex-dividend Date,No dividend
Historical Volatility,0.222
Last (size),100.0
Last (time),11:24a ET 11/28/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.28
Prev Close,33.92
Price,33.67
Shares Outstanding,39.0M
Short Interest,0.06269999999999999
Today's Open,33.72
Volume Past Day,(Light)
