,PRAA
Price/Earnings (TTM),10.27751
Price/Sales (TTM),1.32129
Price/Book (MRQ),1.16855
Price/Cash Flow (TTM),8.6721
5yr Low,19.4
5yr High,51.0
5yr Avg Return,0.03491666666666667
EPS Growth 5yr,0.1679187
Revenue Growth 5yr,0.0332085
Dividend Growth 5yr,
Short Int Current Month,2393030.0
Short Int Prev Month,2409577.0
Short Int Pct of Float,0.0627024
Days to Cover,9.26583
Float,38.22647
Shares Outstanding,38.97691
Institutions Holding Shares,248.0
% Held by Institutions,1.040671
FCF Growth 5yr,-0.39674096493808464
