,UNFI
Price/Earnings (TTM),11.31383
Price/Sales (TTM),0.09563
Price/Book (MRQ),1.50407
Price/Cash Flow (TTM),5.1228
5yr Low,5.0
5yr High,57.89
5yr Avg Return,0.3225166666666667
EPS Growth 5yr,0.0995125
Revenue Growth 5yr,0.2554686
Dividend Growth 5yr,
Short Int Current Month,2009708.0
Short Int Prev Month,1925416.0
Short Int Pct of Float,0.0341666
Days to Cover,5.17821
Float,58.89668
Shares Outstanding,59.9028
Institutions Holding Shares,385.0
% Held by Institutions,0.9000159999999999
FCF Growth 5yr,0.012191197106038961
