,UNFI
% Below High,0.1881
% Held by Institutions,0.9
52-Wk Range,['32.90 - 57.89']
Annual Dividend $,
Annual Dividend %,
Ask,47.21
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,15.0
Bid Size,200.0
Closing Price,47.0
Day Change $,0.82
Day Change %,0.0178
Day High,47.03
Day Low,45.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.08
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.31
Prev Close,46.18
Shares Outstanding,59.9M
Short Interest,0.0342
Today's Open,45.62
Volume,291909.0
Volume 10-day Avg,282329.0
Volume Past Day,(Average)
