,LPG
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6904761904761905
Growth 1yr High Est,1.3851851851851853
Growth 1yr Consensus Est,1.037830687830688
Growth 2yr Low Est,0.10580147551978542
Growth 2yr High Est,0.7143317230273752
Growth 2yr Consensus Est,0.41006659927358036
Growth 5yr Low Est,0.10580147551978542
Growth 5yr High Est,0.7143317230273752
Growth 5yr Consensus Est,0.41006659927358036
Growth 5yr Actual/Est,0.05698071250047662
Growth 3yr Historic,-0.128169663439373
