,LPG
% Below High,0.0178
% Held by Institutions,0.6551
52-Wk Range,['10.77 - 19.71']
Annual Dividend $,
Annual Dividend %,
Ask,20.4
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,1.2
Bid,18.56
Bid Size,100.0
Change Since Close,-0.47| |(-2.43%)
Closing Price,19.36
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.42
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),18.0
Last (time),5:00p ET 11/25/22
Last Trade,18.89
Market Cap,781.2M
"P/E Ratio (TTM, GAAP)",7.99
Prev Close,19.36
Shares Outstanding,40.4M
Short Interest,0.043899999999999995
Today's Open,
Volume,18.0
Volume 10-day Avg,450630.0
Volume Past Day,(Light)
