,DXCM
Price/Earnings (TTM),209.2011
Price/Sales (TTM),15.49016
Price/Book (MRQ),23.70754
Price/Cash Flow (TTM),113.3375
5yr Low,12.76
5yr High,164.86
5yr Avg Return,0.4970666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.3369145
Dividend Growth 5yr,
Short Int Current Month,12592535.0
Short Int Prev Month,11900720.0
Short Int Pct of Float,0.0327515
Days to Cover,4.58409
Float,384.6541
Shares Outstanding,386.2581
Institutions Holding Shares,1170.0
% Held by Institutions,0.958205
FCF Growth 5yr,-0.19726146133483238
