,DOCN
Price/Earnings (TTM),
Price/Sales (TTM),5.00469
Price/Book (MRQ),88.21405
Price/Cash Flow (TTM),37.56467
5yr Low,26.0
5yr High,133.4
5yr Avg Return,0.13819999999999993
Short Int Current Month,8869050.0
Short Int Prev Month,8779684.0
Short Int Pct of Float,0.12969920000000001
Days to Cover,3.73258
Float,68.40427
Shares Outstanding,96.2971
Institutions Holding Shares,343.0
% Held by Institutions,0.5326850000000001
FCF Growth 5yr,4.244658119658119
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
