,REZI
% Above Low,0.0622
% Held by Institutions,0.9366
52-Wk Range,['14.95 - 28.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.89
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,2.0
Bid,15.84
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0167
Day High,16.1
Day Low,15.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.09
Ex-dividend Date,No dividend
Historical Volatility,0.5920000000000001
Last (size),100.0
Last (time),12:36p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",7.73
Prev Close,16.15
Price,15.88
Shares Outstanding,145.8M
Short Interest,0.016200000000000003
Today's Open,15.99
Volume Past Day,(Light)
