,REZI
Price/Earnings (TTM),7.73308
Price/Sales (TTM),0.37602
Price/Book (MRQ),0.98137
Price/Cash Flow (TTM),5.87376
5yr Low,3.72
5yr High,33.25
5yr Avg Return,-0.03871999999999999
EPS Growth 5yr,0.026013099999999997
Revenue Growth 5yr,0.05585
Dividend Growth 5yr,
Short Int Current Month,2332537.0
Short Int Prev Month,2795947.0
Short Int Pct of Float,0.0161969
Days to Cover,2.15721
Float,143.9903
Shares Outstanding,145.8439
Institutions Holding Shares,432.0
% Held by Institutions,0.936556
FCF Growth 5yr,-0.7522130647130648
