,TA
Price/Earnings (TTM),5.87921
Price/Sales (TTM),0.07495
Price/Book (MRQ),0.92898
Price/Cash Flow (TTM),3.26556
5yr Low,5.51
5yr High,65.33
5yr Avg Return,0.19503333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0612181
Dividend Growth 5yr,
Short Int Current Month,584378.0
Short Int Prev Month,628038.0
Short Int Pct of Float,0.0426599
Days to Cover,2.75342
Float,13.69853
Shares Outstanding,14.85359
Institutions Holding Shares,202.0
% Held by Institutions,0.6812779999999999
FCF Growth 5yr,2.3975753099335972
