,TA
% Below High,0.214
% Held by Institutions,0.6812999999999999
52-Wk Range,['31.19 - 65.33']
Annual Dividend $,
Annual Dividend %,
Ask,51.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,51.32
Bid Size,100.0
Day Change $,-0.22
Day Change %,-0.0043
Day High,52.62
Day Low,51.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.77
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),3:56p ET 11/28/22
Market Cap,761.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.88
Prev Close,51.57
Price,51.35
Shares Outstanding,14.9M
Short Interest,0.042699999999999995
Today's Open,51.65
Volume Past Day,(Light)
