,TA
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-4.716049382716049
Growth 1yr High Est,-4.876543209876543
Growth 1yr Consensus Est,-4.796296296296296
Growth 2yr Low Est,-2.5994421885894754
Growth 2yr High Est,-2.6367854053629
Growth 2yr Consensus Est,-2.6181137969761874
Growth 5yr Low Est,-1.2997210942947377
Growth 5yr High Est,-1.31839270268145
Growth 5yr Consensus Est,-1.3090568984880937
Growth 5yr Actual/Est,-0.7838095384204418
Growth 3yr Historic,-0.985277564243356
