,HWC
Price/Earnings (TTM),9.20829
Price/Sales (TTM),3.49657
Price/Book (MRQ),1.45969
Price/Cash Flow (TTM),8.24217
5yr Low,14.32
5yr High,59.82
5yr Avg Return,0.04263333333333333
EPS Growth 5yr,0.22791129999999998
Revenue Growth 5yr,0.060530299999999995
Dividend Growth 5yr,0.0238363
Short Int Current Month,2027200.0
Short Int Prev Month,2261568.0
Short Int Pct of Float,0.0239087
Days to Cover,4.53161
Float,84.89967
Shares Outstanding,85.6933
Institutions Holding Shares,399.0
% Held by Institutions,0.811914
FCF Growth 5yr,0.20326272570567105
