,HWC
% Below High,0.0943
% Held by Institutions,0.8119
52-Wk Range,['41.62 - 59.82']
Annual Dividend $,1.08
Annual Dividend %,0.0199
Ask,54.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,53.74
Bid Size,100.0
Closing Price,54.18
Day Change $,0.41
Day Change %,0.0076
Day High,54.59
Day Low,53.58
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.88
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.324
Last (size),41.0
Last (time),1:00p ET 11/25/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.21
Prev Close,53.77
Shares Outstanding,85.7M
Short Interest,0.0239
Today's Open,54.07
Volume,117345.0
Volume 10-day Avg,382332.0
Volume Past Day,(Light)
