,EIX
% Below High,0.124
% Held by Institutions,0.8876999999999999
52-Wk Range,['54.45 - 73.32']
Annual Dividend $,2.8
Annual Dividend %,0.0436
Ask,71.58
Ask Size,200.0
B/A Ratio,22.0
B/A Size,4400x200
Beta,0.8
Bid,58.0
Bid Size,4400.0
Closing Price,64.23
Day Change $,0.5
Day Change %,0.0078000000000000005
Day High,64.43
Day Low,63.81
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.268
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,24.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.92
Prev Close,63.73
Shares Outstanding,381.9M
Short Interest,0.0151
Today's Open,64.03
Volume,625948.0
Volume 10-day Avg,1487118.0
Volume Past Day,(Light)
