,WSC
% Below High,0.0355
% Held by Institutions,0.9919
52-Wk Range,['30.52 - 49.02']
Annual Dividend $,
Annual Dividend %,
Ask,47.58
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,47.12
Bid Size,100.0
Closing Price,47.28
Day Change $,-0.74
Day Change %,-0.0154
Day High,48.02
Day Low,47.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.38799999999999996
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,9.9B
"P/E Ratio (TTM, GAAP)",37.75
Prev Close,48.02
Shares Outstanding,208.9M
Short Interest,0.0232
Today's Open,47.7
Volume,1555257.0
Volume 10-day Avg,1387111.0
Volume Past Day,(Above Average)
