,CARE
Price/Earnings (TTM),
Price/Sales (TTM),3.35389
Price/Book (MRQ),1.09814
Price/Cash Flow (TTM),
5yr Low,6.3
5yr High,24.25
5yr Avg Return,0.09341666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0154822
Dividend Growth 5yr,
Short Int Current Month,177579.0
Short Int Prev Month,218197.0
Short Int Pct of Float,0.0076294
Days to Cover,2.9261
Float,23.2902
Shares Outstanding,24.10978
Institutions Holding Shares,129.0
% Held by Institutions,0.39238500000000004
FCF Growth 5yr,-4.166475619084247
