,CARE
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-2.0659340659340657
Growth 1yr High Est,-2.198830409356725
Growth 1yr Consensus Est,-2.1323822376453956
Growth 2yr Low Est,-0.953070125750538
Growth 2yr High Est,-0.9652688632149478
Growth 2yr Consensus Est,-0.9591694944827429
Growth 5yr Low Est,-0.6353800838336919
Growth 5yr High Est,-0.6435125754766319
Growth 5yr Consensus Est,-0.6394463296551619
Growth 5yr Actual/Est,-0.8839401957437123
Growth 3yr Historic,-1.103106862410379
