,UUUU
Price/Earnings (TTM),
Price/Sales (TTM),76.68993
Price/Book (MRQ),4.21103
Price/Cash Flow (TTM),
5yr Low,0.78
5yr High,11.39
5yr Avg Return,0.33635
EPS Growth 5yr,
Revenue Growth 5yr,-0.43345750000000005
Dividend Growth 5yr,
Short Int Current Month,20918726.0
Short Int Prev Month,22346897.0
Short Int Pct of Float,0.1348396
Days to Cover,8.9666
Float,155.138
Shares Outstanding,157.6254
Institutions Holding Shares,212.0
% Held by Institutions,0.42436300000000005
FCF Growth 5yr,0.2545426287659274
