,UUUU
% Above Low,0.3518
% Held by Institutions,0.4244
52-Wk Range,['4.69 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,6.32
Ask Size,3800.0
B/A Ratio,0.3157894736842105
B/A Size,1200x3800
Beta,1.6
Bid,6.29
Bid Size,1200.0
Closing Price,6.34
Day Change $,-0.47
Day Change %,-0.069
Day High,6.72
Day Low,6.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.09
Ex-dividend Date,No dividend
Historical Volatility,0.816
Last (size),1.0
Last (time),8:00p ET 11/28/22
Market Cap,999.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.81
Shares Outstanding,157.6M
Short Interest,0.1348
Today's Open,6.72
Volume,1566847.0
Volume 10-day Avg,1774251.0
Volume Past Day,(Below Average)
