,NOVT
% Below High,0.1013
% Held by Institutions,1.0092
52-Wk Range,['110.84 - 177.50']
Annual Dividend $,
Annual Dividend %,
Ask,167.66
Ask Size,100.0
Ask close,198.9
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,1.0
Bid Size,200.0
Bid close,121.45
Change Since Close,-4.77| |(-2.99%)
Closing Price,159.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.02
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,154.75
Market Cap,5.7B
"P/E Ratio (TTM, GAAP)",78.87
Prev Close,159.52
Shares Outstanding,35.7M
Short Interest,0.0461
Today's Open,
Volume,1.0
Volume 10-day Avg,207024.0
Volume Past Day,(Light)
