,NOVT
Price/Earnings (TTM),78.87463
Price/Sales (TTM),6.76574
Price/Book (MRQ),10.49998
Price/Cash Flow (TTM),45.0694
5yr Low,43.65
5yr High,184.44
5yr Avg Return,0.22545
EPS Growth 5yr,0.1741931
Revenue Growth 5yr,0.1293301
Dividend Growth 5yr,
Short Int Current Month,1631451.0
Short Int Prev Month,1562845.0
Short Int Pct of Float,0.0461352
Days to Cover,7.24413
Float,35.38178
Shares Outstanding,35.69021
Institutions Holding Shares,338.0
% Held by Institutions,1.009222
FCF Growth 5yr,1.061632528789672
