,OFG
% Below High,0.064
% Held by Institutions,0.9172
52-Wk Range,['23.82 - 30.93']
Annual Dividend $,0.8
Annual Dividend %,0.0276
Ask,37.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,11.58
Bid Size,100.0
Closing Price,28.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",3.13
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.311
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.25
Prev Close,28.95
Shares Outstanding,47.6M
Short Interest,0.0098
Today's Open,
Volume,42627.0
Volume 10-day Avg,232063.0
Volume Past Day,(Light)
