,OFG
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.16783216783216792
Growth 1yr High Est,0.16382252559726962
Growth 1yr Consensus Est,0.16582734671471877
Growth 2yr Low Est,0.0734370419999163
Growth 2yr High Est,0.13176463523265236
Growth 2yr Consensus Est,0.10260083861628433
Growth 5yr Low Est,0.43784691688883304
Growth 5yr High Est,0.47264701172372897
Growth 5yr Consensus Est,0.45524696430628103
Growth 5yr Actual/Est,0.45195939522892353
Growth 3yr Historic,0.39089262187088275
