,OFG
Price/Earnings (TTM),9.24642
Price/Sales (TTM),2.34362
Price/Book (MRQ),1.38545
Price/Cash Flow (TTM),7.80411
5yr Low,8.5
5yr High,30.93
5yr Avg Return,0.23721666666666663
EPS Growth 5yr,0.2229653
Revenue Growth 5yr,0.0472574
Dividend Growth 5yr,0.0783788
Short Int Current Month,453090.0
Short Int Prev Month,620334.0
Short Int Pct of Float,0.009801800000000001
Days to Cover,1.90336
Float,46.23089
Shares Outstanding,47.56327
Institutions Holding Shares,263.0
% Held by Institutions,0.917218
FCF Growth 5yr,0.35650635513649204
