,NCBS
Price/Earnings (TTM),13.59081
Price/Sales (TTM),4.18646
Price/Book (MRQ),1.26912
Price/Cash Flow (TTM),11.39871
5yr Low,45.33
5yr High,98.2
5yr Avg Return,0.07716666666666666
EPS Growth 5yr,0.1805995
Revenue Growth 5yr,0.1785046
Dividend Growth 5yr,
Short Int Current Month,227603.0
Short Int Prev Month,267247.0
Short Int Pct of Float,0.017838
Days to Cover,8.36776
Float,12.76742
Shares Outstanding,14.67691
Institutions Holding Shares,176.0
% Held by Institutions,0.38380200000000003
FCF Growth 5yr,0.4113326929609992
