,NCBS
% Above Low,0.1686
% Held by Institutions,0.38380000000000003
52-Wk Range,['69.46 - 98.20']
Annual Dividend $,
Annual Dividend %,
Ask,95.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,70.4
Bid Size,200.0
Closing Price,81.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.97
Ex-dividend Date,No dividend
Historical Volatility,0.245
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",13.59
Prev Close,81.17
Shares Outstanding,14.7M
Short Interest,0.0178
Today's Open,
Volume,6551.0
Volume 10-day Avg,20577.0
Volume Past Day,(Light)
