,COHR
% Above Low,0.23140000000000002
% Held by Institutions,0.867
52-Wk Range,['29.90 - 75.05']
Annual Dividend $,
Annual Dividend %,
Ask,36.82
Ask Size,200.0
B/A Ratio,13.5
B/A Size,2700x200
Beta,1.5
Bid,33.69
Bid Size,2700.0
Closing Price,36.82
Day Change $,-0.265
Day Change %,-0.0070999999999999995
Day High,37.12
Day Low,36.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",93.69
Prev Close,37.09
Shares Outstanding,138.7M
Short Interest,0.048499999999999995
Today's Open,36.63
Volume,371842.0
Volume 10-day Avg,1879548.0
Volume Past Day,(Light)
