,COHR
Price/Earnings (TTM),93.69434
Price/Sales (TTM),1.32087
Price/Book (MRQ),1.1157
Price/Cash Flow (TTM),12.7904
5yr Low,19.0
5yr High,100.44
5yr Avg Return,0.04881666666666669
EPS Growth 5yr,-0.0038908
Revenue Growth 5yr,0.2782084
Dividend Growth 5yr,
Short Int Current Month,6618646.0
Short Int Prev Month,6549168.0
Short Int Pct of Float,0.0485074
Days to Cover,2.90738
Float,136.446
Shares Outstanding,138.69
Institutions Holding Shares,544.0
% Held by Institutions,0.8670260000000001
FCF Growth 5yr,-0.5929164836773532
