,AMK
% Below High,0.109
% Held by Institutions,0.2691
52-Wk Range,['16.88 - 27.29']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,18.0
Bid Size,
Closing Price,24.31
Day Change $,0.09
Day Change %,0.0037
Day High,24.35
Day Low,24.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.22
Ex-dividend Date,No dividend
Historical Volatility,0.33899999999999997
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",19.92
Prev Close,24.22
Shares Outstanding,73.8M
Short Interest,0.0152
Today's Open,24.11
Volume,12679.0
Volume 10-day Avg,153449.0
Volume Past Day,(Light)
