,AMK
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2158273381294964
Growth 1yr High Est,0.23776223776223793
Growth 1yr Consensus Est,0.22679478794586716
Growth 2yr Low Est,0.1730024264611979
Growth 2yr High Est,0.21210145786416978
Growth 2yr Consensus Est,0.19255194216268384
Growth 5yr Low Est,0.21421860453494673
Growth 5yr High Est,0.21355072893208488
Growth 5yr Consensus Est,0.2138846667335158
Growth 5yr Actual/Est,0.2035023194557986
Growth 3yr Historic,0.11482375663930472
