,AMK
Price/Earnings (TTM),19.91676
Price/Sales (TTM),3.00327
Price/Book (MRQ),1.63624
Price/Cash Flow (TTM),14.80719
5yr Low,13.94
5yr High,34.02
5yr Avg Return,-0.008949999999999998
Short Int Current Month,326532.0
Short Int Prev Month,356042.0
Short Int Pct of Float,0.0152174
Days to Cover,1.88504
Float,22.04353
Shares Outstanding,73.84711
Institutions Holding Shares,143.0
% Held by Institutions,0.269093
FCF Growth 5yr,0.3993970848231016
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
