,EXTR
% Below High,0.0015
% Held by Institutions,0.8493
52-Wk Range,['8.49 - 20.33']
Annual Dividend $,
Annual Dividend %,
Ask,20.46
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,2.1
Bid,19.32
Bid Size,1200.0
Closing Price,20.3
Day Change $,0.38
Day Change %,0.0191
Day High,20.33
Day Low,19.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.33
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",61.25
Prev Close,19.92
Shares Outstanding,131.3M
Short Interest,0.06269999999999999
Today's Open,19.92
Volume,400196.0
Volume 10-day Avg,1084223.0
Volume Past Day,(Light)
