,EXTR
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.2933333333333332
Growth 1yr High Est,0.31645569620253156
Growth 1yr Consensus Est,0.3048945147679324
Growth 2yr Low Est,0.32707903780068726
Growth 2yr High Est,0.35534323271665036
Growth 2yr Consensus Est,0.3412111352586688
Growth 5yr Low Est,0.34768232149675443
Growth 5yr High Est,0.3738002503825288
Growth 5yr Consensus Est,0.36074128593964155
Growth 5yr Actual/Est,1.4323946229209386
Growth 3yr Historic,1.262719298245614
