,EXTR
Price/Earnings (TTM),61.25158
Price/Sales (TTM),2.33411
Price/Book (MRQ),24.08532
Price/Cash Flow (TTM),32.59267
5yr Low,1.43
5yr High,20.25
5yr Avg Return,0.18325
EPS Growth 5yr,
Revenue Growth 5yr,0.1287461
Dividend Growth 5yr,
Short Int Current Month,8052566.0
Short Int Prev Month,7269718.0
Short Int Pct of Float,0.0627373
Days to Cover,6.37712
Float,128.3975
Shares Outstanding,131.3453
Institutions Holding Shares,301.0
% Held by Institutions,0.849333
FCF Growth 5yr,0.16384174685085892
