,ALNY
Price/Earnings (TTM),
Price/Sales (TTM),27.23496
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,60.27
5yr High,236.8
5yr Avg Return,0.13416666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.7806768
Dividend Growth 5yr,
Short Int Current Month,5558033.0
Short Int Prev Month,6032021.0
Short Int Pct of Float,0.045414199999999995
Days to Cover,7.4709
Float,122.3853
Shares Outstanding,123.0282
Institutions Holding Shares,709.0
% Held by Institutions,0.955296
FCF Growth 5yr,0.13269039237458738
