,ALNY
% Below High,0.1017
% Held by Institutions,0.9553
52-Wk Range,['117.58 - 236.80']
Annual Dividend $,
Annual Dividend %,
Ask,213.24
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.5
Bid,212.2
Bid Size,100.0
Closing Price,212.72
Day Change $,4.23
Day Change %,0.0203
Day High,214.26
Day Low,206.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.77
Ex-dividend Date,No dividend
Historical Volatility,0.632
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,26.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,208.49
Shares Outstanding,123.0M
Short Interest,0.0454
Today's Open,207.89
Volume,356464.0
Volume 10-day Avg,591870.0
Volume Past Day,(Light)
