,ABG
Price/Earnings (TTM),5.17239
Price/Sales (TTM),0.2794
Price/Book (MRQ),1.52048
Price/Cash Flow (TTM),4.7304
5yr Low,39.36
5yr High,230.97
5yr Avg Return,0.21026666666666669
EPS Growth 5yr,0.2905737
Revenue Growth 5yr,0.0854888
Dividend Growth 5yr,
Short Int Current Month,1980255.0
Short Int Prev Month,1989796.0
Short Int Pct of Float,0.0901159
Days to Cover,11.42292
Float,21.97417
Shares Outstanding,22.13306
Institutions Holding Shares,362.0
% Held by Institutions,1.05715
FCF Growth 5yr,-0.02679780165395799
