,ABG
% Below High,0.1097
% Held by Institutions,1.0572
52-Wk Range,['138.88 - 203.92']
Annual Dividend $,
Annual Dividend %,
Ask,182.23
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,181.56
Day Change $,-0.34
Day Change %,-0.0019
Day High,183.3
Day Low,179.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",35.1
Ex-dividend Date,No dividend
Historical Volatility,0.506
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.17
Prev Close,181.9
Shares Outstanding,22.1M
Short Interest,0.0901
Today's Open,179.98
Volume,39325.0
Volume 10-day Avg,145095.0
Volume Past Day,(Light)
