,JPM
Price/Earnings (TTM),11.54398
Price/Sales (TTM),3.25016
Price/Book (MRQ),1.57178
Price/Cash Flow (TTM),9.39027
5yr Low,76.91
5yr High,172.96
5yr Avg Return,0.0684
EPS Growth 5yr,0.19948280000000002
Revenue Growth 5yr,0.0069264999999999995
Dividend Growth 5yr,0.1499442
Short Int Current Month,24333614.0
Short Int Prev Month,22353403.0
Short Int Pct of Float,0.0083757
Days to Cover,1.90742
Float,2906.13
Shares Outstanding,2933.205
Institutions Holding Shares,4186.0
% Held by Institutions,0.672022
FCF Growth 5yr,
