,MKSI
% Above Low,0.2518
% Held by Institutions,0.8933
52-Wk Range,['64.77 - 181.03']
Annual Dividend $,0.88
Annual Dividend %,0.0109
Ask,
Ask Size,
Ask close,86.37
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Bid close,75.43
Change Since Close,-2.42| |(-2.98%)
Closing Price,81.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.69
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.544
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,78.66
Market Cap,5.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.55
Prev Close,81.08
Shares Outstanding,66.5M
Short Interest,0.0286
Today's Open,
Volume,1.0
Volume 10-day Avg,747427.0
Volume Past Day,(Light)
