,PLTK
% Above Low,0.0828
% Held by Institutions,0.1993
52-Wk Range,['8.39 - 21.45']
Annual Dividend $,
Annual Dividend %,
Ask,9.09
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,9.08
Bid Size,400.0
Day Change $,-0.245
Day Change %,-0.0263
Day High,9.19
Day Low,8.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.7
Ex-dividend Date,No dividend
Historical Volatility,0.64
Last (size),100.0
Last (time),11:03a ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",13.24
Prev Close,9.33
Price,9.09
Shares Outstanding,361.1M
Short Interest,0.1292
Today's Open,8.94
Volume Past Day,(Light)
