,PLTK
Price/Earnings (TTM),13.23855
Price/Sales (TTM),1.27949
Price/Book (MRQ),
Price/Cash Flow (TTM),7.41644
5yr Low,8.39
5yr High,36.06
5yr Avg Return,-0.47995
EPS Growth 5yr,0.3057805
Revenue Growth 5yr,0.2261709
Dividend Growth 5yr,
Short Int Current Month,5816314.0
Short Int Prev Month,5744777.0
Short Int Pct of Float,0.1291569
Days to Cover,3.80603
Float,45.98274
Shares Outstanding,361.1244
Institutions Holding Shares,232.0
% Held by Institutions,0.19925
FCF Growth 5yr,1.569299973906852
