,UAA
Price/Earnings (TTM),31.62404
Price/Sales (TTM),0.71275
Price/Book (MRQ),2.40721
Price/Cash Flow (TTM),14.54909
5yr Low,6.38
5yr High,27.72
5yr Avg Return,-0.0009666666666666639
Short Int Current Month,23469190.0
Short Int Prev Month,20520966.0
Short Int Pct of Float,0.12476179999999999
Days to Cover,1.91969
Float,381.364
Shares Outstanding,452.2365
Institutions Holding Shares,495.0
% Held by Institutions,0.762984
FCF Growth 5yr,-1.8767832894930827
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
