,PTON
% Above Low,0.5315
% Held by Institutions,0.7564
52-Wk Range,['6.66 - 46.50']
Annual Dividend $,
Annual Dividend %,
Ask,10.2
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,
Bid,10.19
Bid Size,1200.0
Day Change $,0.14
Day Change %,0.0139
Day High,10.94
Day Low,9.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.58
Ex-dividend Date,No dividend
Historical Volatility,1.072
Last (size),901.0
Last (time),11:51a ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.06
Price,10.2
Shares Outstanding,340.1M
Short Interest,0.1445
Today's Open,9.98
Volume Past Day,(Heavy Day)
