,PTON
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.33333333333333326
Growth 2yr High Est,-1.12
Growth 2yr Consensus Est,-0.7266666666666667
Growth 5yr Low Est,-0.33333333333333326
Growth 5yr High Est,-1.12
Growth 5yr Consensus Est,-0.7266666666666667
Growth 5yr Actual/Est,6.6934739404557595
Growth 3yr Historic,7.017708333333334
