,PTON
Price/Earnings (TTM),
Price/Sales (TTM),1.00812
Price/Book (MRQ),13.22548
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,171.09
5yr Avg Return,0.7051999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.7494338
Dividend Growth 5yr,
Short Int Current Month,43252403.0
Short Int Prev Month,44225503.0
Short Int Pct of Float,0.1444753
Days to Cover,2.60419
Float,310.6461
Shares Outstanding,340.0539
Institutions Holding Shares,556.0
% Held by Institutions,0.756422
FCF Growth 5yr,-0.020328040265436404
