,DFIN
Price/Earnings (TTM),10.69294
Price/Sales (TTM),1.21215
Price/Book (MRQ),3.30829
Price/Cash Flow (TTM),6.75781
5yr Low,4.04
5yr High,52.33
5yr Avg Return,0.2631
EPS Growth 5yr,0.181299
Revenue Growth 5yr,0.0019850000000000002
Dividend Growth 5yr,
Short Int Current Month,1322256.0
Short Int Prev Month,1273509.0
Short Int Pct of Float,0.047154299999999996
Days to Cover,5.17744
Float,27.93181
Shares Outstanding,29.1039
Institutions Holding Shares,269.0
% Held by Institutions,0.9423600000000001
FCF Growth 5yr,-1.3834960033809136
