,DFIN
% Below High,0.2361
% Held by Institutions,0.9423999999999999
52-Wk Range,['24.60 - 49.00']
Annual Dividend $,
Annual Dividend %,
Ask,58.82
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,27.0
Bid Size,100.0
Closing Price,37.43
Day Change $,0.2
Day Change %,0.0054
Day High,37.99
Day Low,37.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.5
Ex-dividend Date,No dividend
Historical Volatility,0.518
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",10.69
Prev Close,37.23
Shares Outstanding,29.1M
Short Interest,0.0472
Today's Open,37.16
Volume,45409.0
Volume 10-day Avg,160980.0
Volume Past Day,(Light)
