,DFIN
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.19374999999999998
Growth 1yr High Est,-0.20206185567010304
Growth 1yr Consensus Est,-0.1979059278350515
Growth 2yr Low Est,-0.1575985142118863
Growth 2yr High Est,-0.07777511388156322
Growth 2yr Consensus Est,-0.11768681404672476
Growth 5yr Low Est,-0.1575985142118863
Growth 5yr High Est,-0.07777511388156322
Growth 5yr Consensus Est,-0.11768681404672476
Growth 5yr Actual/Est,0.4684662613800306
Growth 3yr Historic,0.5328874024526198
