,KSS
% Above Low,0.2974
% Held by Institutions,0.8755
52-Wk Range,['24.61 - 64.38']
Annual Dividend $,2.0
Annual Dividend %,0.0626
Ask,32.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.5
Bid Size,100.0
Closing Price,31.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",4.29
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.7120000000000001
Last (size),93.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.44
Prev Close,31.93
Shares Outstanding,116.6M
Short Interest,0.1438
Today's Open,
Volume,2513198.0
Volume 10-day Avg,3886385.0
Volume Past Day,(Light)
