,KSS
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.603960396039604
Growth 1yr High Est,-0.5620827770360481
Growth 1yr Consensus Est,-0.5830215865378261
Growth 2yr Low Est,-0.3555516265912306
Growth 2yr High Est,-0.1331755348594874
Growth 2yr Consensus Est,-0.244363580725359
Growth 5yr Low Est,-1.4673635739288347
Growth 5yr High Est,-1.514789371095265
Growth 5yr Consensus Est,-1.4910764725120498
Growth 5yr Actual/Est,-1.5198237966079753
Growth 3yr Historic,-1.39788222780219
