,KSS
Price/Earnings (TTM),7.44468
Price/Sales (TTM),0.20047
Price/Book (MRQ),0.90924
Price/Cash Flow (TTM),2.72241
5yr Low,10.89
5yr High,83.28
5yr Avg Return,-0.03148333333333332
EPS Growth 5yr,0.1533039
Revenue Growth 5yr,-0.002533
Dividend Growth 5yr,-0.0559125
Short Int Current Month,16501276.0
Short Int Prev Month,15536010.0
Short Int Pct of Float,0.1438235
Days to Cover,3.46562
Float,114.8031
Shares Outstanding,116.638
Institutions Holding Shares,487.0
% Held by Institutions,0.8755320000000001
FCF Growth 5yr,-0.2479338348960268
